lemma,language_code,status
a bit like,en,PENDING
a bit more about,en,PENDING
a certain amount of,en,PENDING
a function of,en,PENDING
a group of,en,PENDING
a kind of,en,PENDING
a little bit about,en,PENDING
a little bit more about,en,PENDING
a little bit of,en,PENDING
a little bit,en,PENDING
a lot of,en,PENDING
a lot,en,PENDING
a number of,en,PENDING
a range of,en,PENDING
a sense of,en,PENDING
a series of,en,PENDING
a sort of,en,PENDING
a variety of,en,PENDING
a very important,en,PENDING
a way of,en,PENDING
a whole range of,en,PENDING
a whole series of,en,PENDING
according to,en,PENDING
all kinds of,en,PENDING
all right so,en,PENDING
all right,en,PENDING
all sorts of,en,PENDING
all sorts,en,PENDING
an awful lot of,en,PENDING
an example of,en,PENDING
an idea of,en,PENDING
and all the rest of it,en,PENDING
and so on and so forth,en,PENDING
and so on,en,PENDING
and things like that,en,PENDING
and you can see that,en,PENDING
are there any questions?,en,PENDING
as a result of,en,PENDING
as a result,en,PENDING
as a whole,en,PENDING
as i said,en,PENDING
as i say,en,PENDING
as it were,en,PENDING
as opposed to,en,PENDING
as to,en,PENDING
as well as,en,PENDING
as you can see,en,PENDING
as you know,en,PENDING
at that point,en,PENDING
at the beginning of,en,PENDING
at the beginning,en,PENDING
at the bottom of,en,PENDING
at the end of,en,PENDING
at the end,en,PENDING
at the level of,en,PENDING
at the same time,en,PENDING
at the start of,en,PENDING
at the start,en,PENDING
at the top of,en,PENDING
at this point,en,PENDING
at this stage,en,PENDING
back to that,en,PENDING
be looking at,en,PENDING
because of,en,PENDING
been talking about,en,PENDING
but also,en,PENDING
but in fact,en,PENDING
by the end of,en,PENDING
by the way,en,PENDING
come back to that,en,PENDING
come back to,en,PENDING
come to,en,PENDING
et cetera et cetera,en,PENDING
et cetera,en,PENDING
expressing aims causes and effects,en,PENDING
first of all,en,PENDING
for a long time,en,PENDING
for example,en,PENDING
for instance,en,PENDING
for the moment,en,PENDING
for those of you,en,PENDING
from the point of view of,en,PENDING
go back to that,en,PENDING
go back to,en,PENDING
go on to,en,PENDING
going to be talking about,en,PENDING
going to come to,en,PENDING
going to give you an example,en,PENDING
going to go into,en,PENDING
going to go through,en,PENDING
going to look at,en,PENDING
going to say,en,PENDING
going to show you,en,PENDING
going to talk about,en,PENDING
have to look at,en,PENDING
hedging and expressing degrees of certainty,en,PENDING
here we have,en,PENDING
i just want to,en,PENDING
i suppose,en,PENDING
i think that,en,PENDING
i think,en,PENDING
i want to,en,PENDING
i was talking about,en,PENDING
i would like to,en,PENDING
i would say,en,PENDING
if we look at,en,PENDING
if you like,en,PENDING
if you look at,en,PENDING
if you remember,en,PENDING
if you think about it,en,PENDING
if you think about,en,PENDING
in a minute,en,PENDING
in a moment,en,PENDING
in a sense,en,PENDING
in a way that,en,PENDING
in a way,en,PENDING
in front of you,en,PENDING
in order to,en,PENDING
in other words,en,PENDING
in particular,en,PENDING
in relation to,en,PENDING
in some way,en,PENDING
in some ways,en,PENDING
in such a way,en,PENDING
in terms of,en,PENDING
in that case,en,PENDING
in that way,en,PENDING
in the case of,en,PENDING
in the context of,en,PENDING
in the first place,en,PENDING
in the form of,en,PENDING
in the future,en,PENDING
in the same way,en,PENDING
in the sense that,en,PENDING
in the sense,en,PENDING
in the way that,en,PENDING
in this case,en,PENDING
in this course,en,PENDING
in this way,en,PENDING
interested i,en,PENDING
involved i,en,PENDING
is important to,en,PENDING
it seems to me that,en,PENDING
it seems to me,en,PENDING
just going to,en,PENDING
just to remind you,en,PENDING
later o,en,PENDING
let me just,en,PENDING
like this,en,PENDING
look at this,en,PENDING
lots and lots of,en,PENDING
lots of,en,PENDING
many of you,en,PENDING
may or may not,en,PENDING
may well be,en,PENDING
more and more,en,PENDING
more likely to,en,PENDING
more or less,en,PENDING
most of you,en,PENDING
move on to,en,PENDING
not only but also,en,PENDING
nothing to do with,en,PENDING
of course,en,PENDING
of some kind,en,PENDING
ok now,en,PENDING
ok so,en,PENDING
on the basis of,en,PENDING
on the board,en,PENDING
on the handout,en,PENDING
on the one hand,en,PENDING
on the other hand,en,PENDING
on the whole,en,PENDING
on your handout,en,PENDING
one of the key,en,PENDING
one of the most,en,PENDING
one of the reasons,en,PENDING
one of the things,en,PENDING
or something like that,en,PENDING
or whatever,en,PENDING
period of time,en,PENDING
quite a lot of,en,PENDING
quite a lot,en,PENDING
rather tha,en,PENDING
right so,en,PENDING
so for example,en,PENDING
so in other words,en,PENDING
so that,en,PENDING
so we have,en,PENDING
so you can see,en,PENDING
so you get,en,PENDING
some kind of,en,PENDING
some sort of,en,PENDING
something like,en,PENDING
something to do with,en,PENDING
such as,en,PENDING
tend to be,en,PENDING
that is to say,en,PENDING
that kind of thing,en,PENDING
that kind of,en,PENDING
that sort of thing,en,PENDING
that sort of,en,PENDING
the basis of,en,PENDING
the context of,en,PENDING
the development of,en,PENDING
the difference betwee,en,PENDING
the effect of,en,PENDING
the effects of,en,PENDING
the fact that,en,PENDING
the first thing that,en,PENDING
the first thing,en,PENDING
the idea is that,en,PENDING
the idea of,en,PENDING
the idea that,en,PENDING
the importance of,en,PENDING
the issue of,en,PENDING
the kinds of,en,PENDING
the level of,en,PENDING
the majority of,en,PENDING
the meaning of,en,PENDING
the most important,en,PENDING
the nature of,en,PENDING
the notion of,en,PENDING
the number of,en,PENDING
the other way round,en,PENDING
the point is that,en,PENDING
the possibility of,en,PENDING
the problem of,en,PENDING
the problem with,en,PENDING
the process of,en,PENDING
the question is,en,PENDING
the question of,en,PENDING
the rate of change,en,PENDING
the rate of,en,PENDING
the reason for,en,PENDING
the reason why,en,PENDING
the relationship betwee,en,PENDING
the role of,en,PENDING
the same sort of,en,PENDING
the same thing,en,PENDING
the sort of thing,en,PENDING
the sorts of,en,PENDING
the state of,en,PENDING
the type of,en,PENDING
the way in which,en,PENDING
the way that,en,PENDING
the ways in which,en,PENDING
the whole of,en,PENDING
these sorts of,en,PENDING
this idea of,en,PENDING
this kind of thing,en,PENDING
this kind of,en,PENDING
this sort of thing,en,PENDING
this sort of,en,PENDING
to bear in mind,en,PENDING
to deal with,en,PENDING
to do with,en,PENDING
to find out,en,PENDING
to remind you,en,PENDING
to see how,en,PENDING
to show you,en,PENDING
to some extent,en,PENDING
to think about,en,PENDING
to work out,en,PENDING
types of,en,PENDING
using vague language,en,PENDING
way in which,en,PENDING
ways in which,en,PENDING
we can see,en,PENDING
we know that,en,PENDING
we looked at,en,PENDING
we need to know,en,PENDING
we talk about,en,PENDING
we talked about,en,PENDING
we were talking about,en,PENDING
what do you think?,en,PENDING
what does that mean?,en,PENDING
what happens if,en,PENDING
what happens to,en,PENDING
what i mea,en,PENDING
what i mean by,en,PENDING
what i want to do,en,PENDING
when it comes to,en,PENDING
when we look at,en,PENDING
when you look at,en,PENDING
why do you think?,en,PENDING
with respect to,en,PENDING
you can imagine,en,PENDING
you can look at,en,PENDING
you can see here,en,PENDING
you can see that,en,PENDING
you find that,en,PENDING
you might say,en,PENDING
you might want to look at,en,PENDING
you might want to,en,PENDING
you need to know,en,PENDING
you will find,en,PENDING
you will see,en,PENDING